,CreditScore,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Germany,Spain,Exited,Tahmin,date0,date,Year1,Month1,Day1
109,523,1,41,0,119276.31,1,0,0,122284.38,1,0,1,0,2012-02-02,2022-02-01,2022,02,01
110,698,1,38,2,130015.24,1,1,1,41595.3,0,0,0,0,2013-08-01,2022-02-01,2022,02,01
111,555,0,51,9,138214.5,1,1,0,198715.27,1,0,1,0,2016-07-11,2022-02-01,2022,02,01
112,750,0,26,1,151510.17,2,1,1,19921.72,0,0,0,0,2015-07-15,2022-02-02,2022,02,02
113,779,1,33,1,158456.76,1,1,1,197000.92,1,0,1,0,2010-02-04,2022-02-02,2022,02,02
114,529,1,39,6,102025.08,2,1,0,12351.01,0,0,0,0,2011-01-13,2022-02-02,2022,02,02
115,618,1,33,4,0.0,2,1,1,77550.18,0,1,0,0,2012-01-17,2022-02-02,2022,02,02
116,790,0,34,2,164011.48,1,1,0,199420.41,1,0,0,0,2014-12-25,2022-02-02,2022,02,02
117,710,0,27,2,135277.96,1,1,0,142200.15,0,1,0,0,2012-05-29,2022-02-02,2022,02,02
118,714,0,49,4,93059.34,1,1,0,7571.51,1,0,1,0,2012-02-10,2022-02-02,2022,02,02
119,850,0,54,4,120952.74,1,1,0,66963.15,0,1,0,0,2013-09-02,2022-02-02,2022,02,02
120,679,1,41,8,147726.98,3,1,0,172749.4,0,0,1,0,2014-04-25,2022-02-03,2022,02,03
121,794,1,56,9,96951.21,1,1,1,71776.76,0,0,0,0,2015-04-07,2022-02-03,2022,02,03
122,746,0,33,2,107868.14,2,1,1,146192.4,1,0,0,0,2013-01-15,2022-02-03,2022,02,03
123,470,1,35,1,96473.59,1,0,0,5962.3,0,0,0,0,2017-09-25,2022-02-03,2022,02,03
124,670,1,35,2,124268.64,2,0,1,84321.03,0,1,0,0,2013-03-25,2022-02-03,2022,02,03
125,669,1,37,1,125529.55,1,1,1,162260.93,0,0,0,0,2015-12-22,2022-02-03,2022,02,03
126,628,0,31,6,175443.75,1,1,0,113167.17,0,0,1,0,2018-12-05,2022-02-04,2022,02,04
127,721,1,33,5,0.0,2,0,1,117626.9,0,1,0,0,2016-03-02,2022-02-04,2022,02,04
128,597,0,43,7,119127.46,2,1,0,55809.92,1,0,0,0,2014-01-06,2022-02-07,2022,02,07
129,500,0,47,8,128486.11,1,1,0,179227.12,0,1,0,0,2016-09-05,2022-02-07,2022,02,07
130,494,0,33,1,137853.0,1,0,1,90273.85,0,0,0,0,2013-01-03,2022-02-07,2022,02,07
131,676,1,29,4,140720.93,1,1,0,36221.18,0,0,0,0,2016-09-26,2022-02-07,2022,02,07
132,524,0,31,10,67238.98,2,1,1,161811.23,1,0,0,0,2018-03-26,2022-02-07,2022,02,07
133,669,1,57,5,0.0,2,1,1,56875.76,0,0,0,0,2015-11-24,2022-02-07,2022,02,07
134,598,1,28,8,129991.76,2,0,1,46041.08,0,0,0,0,2013-05-03,2022-02-08,2022,02,08
135,577,0,33,6,0.0,2,1,0,57975.8,0,1,0,0,2011-03-31,2022-02-08,2022,02,08
136,773,1,41,9,102827.44,1,0,1,64595.25,0,1,0,0,2015-04-07,2022-02-08,2022,02,08
137,602,1,31,7,155271.83,1,1,1,179446.31,0,0,0,0,2016-05-09,2022-02-08,2022,02,08
138,656,1,39,10,0.0,2,1,1,98894.64,0,0,0,0,2016-06-23,2022-02-08,2022,02,08
139,725,0,25,9,0.0,2,1,1,168607.74,0,0,0,0,2012-04-12,2022-02-09,2022,02,09
140,699,1,34,4,185173.81,2,1,0,120834.48,1,0,0,0,2012-02-24,2022-02-09,2022,02,09
141,584,0,31,6,152622.34,1,1,0,99298.8,1,0,0,0,2013-08-29,2022-02-09,2022,02,09
142,628,0,51,9,155903.82,2,1,1,71159.84,1,0,0,0,2012-12-14,2022-02-09,2022,02,09
143,520,0,42,6,0.0,2,1,1,34410.55,0,1,0,0,2014-09-19,2022-02-09,2022,02,09
144,716,0,30,2,205770.78,2,0,0,65464.66,1,0,0,0,2010-05-17,2022-02-09,2022,02,09
145,765,1,43,9,157960.49,2,0,0,136602.8,0,0,0,0,2015-02-26,2022-02-10,2022,02,10
146,589,0,39,7,0.0,2,0,0,95985.64,0,0,0,0,2015-02-06,2022-02-10,2022,02,10
147,594,1,57,6,0.0,1,1,0,19376.56,0,0,1,0,2013-09-10,2022-02-10,2022,02,10
148,521,1,37,2,0.0,2,1,1,86372.24,0,0,0,0,2016-03-04,2022-02-11,2022,02,11
149,663,1,64,6,0.0,2,0,1,15876.52,0,1,0,0,2013-02-14,2022-02-11,2022,02,11
150,636,0,24,9,0.0,2,0,1,38830.72,0,0,0,0,2013-09-12,2022-02-11,2022,02,11
151,597,1,26,5,0.0,2,0,1,95159.13,0,1,0,0,2011-02-21,2022-02-14,2022,02,14
152,682,0,29,6,101012.77,1,0,0,32589.89,1,0,1,0,2011-09-16,2022-02-14,2022,02,14
153,691,0,33,6,0.0,2,1,0,164074.89,0,0,0,0,2017-02-06,2022-02-14,2022,02,14
154,680,1,34,6,146422.22,1,1,0,67142.97,1,0,1,0,2014-07-14,2022-02-14,2022,02,14
155,492,0,48,6,127253.98,1,1,1,92144.09,0,0,1,0,2017-01-09,2022-02-14,2022,02,14
156,684,0,36,5,174180.39,1,1,0,119830.08,0,1,0,0,2010-01-06,2022-02-14,2022,02,14
157,533,1,36,7,85311.7,1,0,1,156731.91,0,0,0,0,2012-01-18,2022-02-14,2022,02,14
158,540,1,28,8,0.0,2,0,0,197588.32,0,1,0,0,2010-02-03,2022-02-15,2022,02,15
159,783,0,42,2,139707.28,1,1,0,2150.22,1,0,0,0,2010-12-30,2022-02-16,2022,02,16
160,411,1,29,0,59697.17,2,1,1,53483.21,0,0,0,0,2012-06-15,2022-02-16,2022,02,16
161,526,1,30,9,0.0,2,0,0,100995.68,0,0,0,0,2014-08-11,2022-02-16,2022,02,16
162,576,1,44,9,119530.52,1,1,0,119056.68,1,0,1,0,2015-03-10,2022-02-16,2022,02,16
163,497,1,47,6,0.0,1,1,1,90055.08,0,0,0,0,2016-12-07,2022-02-16,2022,02,16
164,744,1,31,9,120718.28,1,1,1,58961.49,0,0,0,0,2015-02-06,2022-02-16,2022,02,16
165,582,1,32,1,88938.62,1,1,1,10054.53,1,0,0,0,2011-01-24,2022-02-17,2022,02,17
166,452,0,35,8,0.0,2,1,1,149614.81,0,0,0,0,2010-07-27,2022-02-17,2022,02,17
167,485,0,39,2,75339.64,1,1,1,70665.16,0,0,0,0,2018-10-11,2022-02-17,2022,02,17
168,850,0,46,2,157866.77,1,1,1,18986.12,0,0,0,0,2013-05-20,2022-02-18,2022,02,18
169,649,1,36,8,0.0,2,1,0,161668.15,0,1,0,0,2010-04-08,2022-02-18,2022,02,18
170,661,0,28,7,95357.49,1,0,0,102297.15,0,1,0,0,2011-04-01,2022-02-18,2022,02,18
171,725,1,26,6,98684.15,1,0,0,133720.57,0,0,0,0,2017-10-16,2022-02-18,2022,02,18
172,624,0,71,4,170252.05,3,1,1,73679.59,0,0,1,1,2012-12-27,2022-02-18,2022,02,18
173,668,1,46,0,0.0,2,0,0,29388.02,0,0,0,0,2014-04-21,2022-02-21,2022,02,21
174,706,1,28,3,0.0,2,0,1,181543.67,0,1,0,0,2016-01-18,2022-02-21,2022,02,21
175,553,1,33,4,118082.89,1,0,0,94440.45,0,0,0,0,2015-06-26,2022-02-21,2022,02,21
176,571,1,25,6,82506.72,2,1,0,167705.07,1,0,0,0,2013-03-06,2022-02-22,2022,02,22
177,477,0,58,8,145984.92,1,1,1,24564.7,1,0,0,1,2016-08-18,2022-02-22,2022,02,22
178,696,0,41,8,0.0,2,0,0,28276.83,0,0,0,0,2017-03-28,2022-02-22,2022,02,22
179,481,0,39,6,0.0,1,1,1,24677.54,0,0,0,0,2011-11-17,2022-02-22,2022,02,22
180,639,1,38,3,0.0,1,1,0,42862.82,0,0,0,0,2014-10-23,2022-02-23,2022,02,23
181,810,1,35,3,96814.46,2,1,1,120511.03,1,0,0,0,2018-01-17,2022-02-23,2022,02,23
182,516,0,42,8,56228.25,1,1,0,46857.52,0,0,0,0,2014-01-02,2022-02-23,2022,02,23
183,662,1,59,2,104568.41,1,1,0,8059.44,1,0,1,0,2017-01-12,2022-02-23,2022,02,23
184,690,1,43,2,166522.78,1,0,0,119644.59,1,0,1,0,2017-10-24,2022-02-23,2022,02,23
185,500,1,38,7,0.0,2,0,0,192013.23,0,1,0,0,2015-05-27,2022-02-23,2022,02,23
186,656,0,40,10,167878.5,1,0,1,151887.16,0,1,0,0,2010-03-31,2022-02-23,2022,02,23
187,697,1,35,5,133087.76,1,1,0,64771.61,0,0,0,0,2013-12-13,2022-02-23,2022,02,23
188,718,1,37,8,0.0,2,1,1,142.81,0,0,0,0,2016-05-06,2022-02-24,2022,02,24
189,501,0,41,3,144260.5,1,1,0,172114.67,0,0,0,0,2015-10-15,2022-02-24,2022,02,24
190,844,0,28,4,0.0,2,0,1,123318.37,0,0,0,0,2016-01-15,2022-02-24,2022,02,24
191,710,0,75,5,0.0,2,1,1,9376.89,0,1,0,0,2015-10-08,2022-02-24,2022,02,24
192,748,1,44,4,112610.77,1,0,1,2048.55,0,0,0,0,2016-03-11,2022-02-24,2022,02,24
193,494,1,69,9,93320.8,1,1,1,24489.44,0,0,0,1,2012-07-31,2022-02-24,2022,02,24
194,757,1,47,3,130747.1,1,1,0,143829.54,0,0,0,0,2012-12-10,2022-02-24,2022,02,24
195,497,0,32,8,111537.23,4,1,1,9497.99,1,0,1,0,2011-03-21,2022-02-24,2022,02,24
196,744,1,38,6,73023.17,2,1,0,78770.86,1,0,0,0,2010-07-27,2022-02-24,2022,02,24
197,591,1,28,5,0.0,2,1,1,48606.92,0,0,0,0,2018-10-22,2022-02-24,2022,02,24
198,638,0,48,10,138333.03,1,1,1,47679.14,0,0,0,0,2010-12-08,2022-02-25,2022,02,25
199,581,1,46,2,79385.21,2,0,0,188492.82,0,1,0,0,2017-10-11,2022-02-25,2022,02,25
200,604,1,40,1,84315.02,1,0,0,36209.1,0,0,0,0,2016-04-21,2022-02-25,2022,02,25
201,571,0,53,2,0.0,2,1,0,28045.77,0,0,0,0,2018-07-05,2022-02-25,2022,02,25
202,850,1,38,3,54901.01,1,1,1,140075.55,1,0,0,0,2010-02-19,2022-02-25,2022,02,25
203,596,0,54,0,78126.28,1,1,1,153482.91,0,1,1,0,2016-12-08,2022-02-25,2022,02,25
204,528,1,31,9,120962.59,1,1,0,5419.31,0,0,0,0,2018-09-25,2022-02-25,2022,02,25
205,542,1,39,3,135096.77,1,1,1,14353.43,0,0,1,0,2010-05-28,2022-02-28,2022,02,28
206,683,0,39,2,47685.47,2,1,1,86019.48,1,0,0,0,2018-10-22,2022-02-28,2022,02,28
207,698,1,48,4,101238.24,2,0,1,177815.87,0,0,1,0,2012-03-28,2022-02-28,2022,02,28
208,655,0,34,3,0.0,2,1,0,159638.77,0,0,0,0,2014-08-26,2022-02-28,2022,02,28
209,729,1,30,6,63669.42,1,1,0,145111.37,1,0,0,0,2014-12-25,2022-02-28,2022,02,28
210,646,1,36,6,124445.52,1,1,0,88481.32,0,0,0,0,2018-10-04,2022-02-28,2022,02,28
211,850,1,40,8,102800.65,1,1,0,60811.56,0,0,0,0,2018-05-22,2022-02-28,2022,02,28
212,665,0,43,2,116322.27,4,1,0,35640.12,1,0,1,0,2018-08-09,2022-02-28,2022,02,28
213,601,0,49,4,96252.98,2,1,0,104263.82,1,0,0,0,2018-11-05,2022-02-28,2022,02,28
214,694,1,38,1,0.0,2,0,1,156858.2,0,0,0,0,2018-07-30,2022-02-28,2022,02,28
215,732,0,36,9,0.0,1,0,0,3749.0,0,0,1,0,2010-01-11,2022-02-28,2022,02,28
216,679,1,30,9,0.0,2,1,0,157871.55,0,0,0,0,2010-12-17,2022-03-01,2022,03,01
217,487,0,40,6,136093.74,1,0,1,193408.43,0,1,0,0,2011-11-29,2022-03-01,2022,03,01
218,792,0,50,4,146710.76,1,1,0,16528.4,1,0,1,0,2016-01-04,2022-03-01,2022,03,01
219,472,1,31,4,58662.92,2,0,1,73322.0,0,0,0,0,2013-09-03,2022-03-01,2022,03,01
220,706,0,46,7,111288.18,1,1,1,149170.25,1,0,1,0,2010-09-23,2022-03-01,2022,03,01
221,708,0,35,8,122570.69,1,0,0,199005.88,0,1,0,0,2013-05-09,2022-03-01,2022,03,01
222,477,0,39,4,182491.57,1,1,0,185830.72,1,0,0,0,2012-05-01,2022-03-01,2022,03,01
223,512,1,24,6,0.0,2,1,0,37654.31,0,0,0,0,2013-08-08,2022-03-01,2022,03,01
224,737,1,50,4,127552.85,2,1,0,4225.11,1,0,0,0,2011-04-14,2022-03-02,2022,03,02
225,572,0,54,9,97382.53,1,1,1,195771.95,1,0,0,0,2017-08-18,2022-03-02,2022,03,02
226,747,1,36,8,102603.3,2,1,1,180693.61,1,0,0,0,2010-09-07,2022-03-02,2022,03,02
227,691,0,40,0,115465.98,1,1,1,60622.61,0,0,0,0,2016-08-05,2022-03-02,2022,03,02
228,692,1,66,4,159732.02,1,1,1,118188.15,0,0,0,0,2018-11-06,2022-03-03,2022,03,03
229,850,1,32,9,141827.33,2,1,1,149458.73,1,0,0,0,2011-08-15,2022-03-03,2022,03,03
230,531,1,27,8,132576.25,1,0,0,7222.92,0,1,0,0,2010-07-08,2022-03-03,2022,03,03
231,487,0,61,5,110368.03,1,0,0,11384.45,1,0,1,1,2012-07-16,2022-03-04,2022,03,04
232,709,1,42,9,118546.71,1,0,1,77142.85,0,0,0,0,2011-11-14,2022-03-04,2022,03,04
233,745,0,36,9,0.0,1,1,0,19605.18,0,0,1,0,2015-05-07,2022-03-04,2022,03,04
234,492,1,39,7,0.0,2,0,1,71323.23,0,0,0,0,2011-12-09,2022-03-04,2022,03,04
235,719,0,22,7,114415.84,1,1,1,177497.4,0,0,0,0,2017-06-27,2022-03-04,2022,03,04
236,690,0,42,3,92578.14,2,0,0,70810.6,0,0,0,0,2011-05-11,2022-03-07,2022,03,07
237,558,1,32,4,108235.91,1,1,1,143783.28,1,0,0,0,2013-02-08,2022-03-07,2022,03,07
238,651,0,34,10,148962.46,1,1,0,66389.43,1,0,1,0,2013-06-17,2022-03-07,2022,03,07
239,592,1,36,10,123187.51,1,0,1,146111.35,1,0,0,0,2013-06-05,2022-03-07,2022,03,07
240,608,1,34,3,106288.54,1,1,1,36639.25,1,0,0,0,2013-03-11,2022-03-07,2022,03,07
241,430,1,36,1,138992.48,2,0,0,122373.42,1,0,0,0,2011-05-25,2022-03-07,2022,03,07
242,665,0,34,1,96645.54,2,0,0,171413.66,0,0,0,0,2012-08-14,2022-03-08,2022,03,08
243,745,0,46,7,0.0,2,1,1,67769.94,0,0,0,0,2011-10-04,2022-03-08,2022,03,08
244,528,0,46,9,135555.66,1,1,0,133146.03,1,0,1,0,2012-09-04,2022-03-09,2022,03,09
245,528,1,37,6,103772.45,1,1,0,197111.99,0,0,0,0,2016-02-17,2022-03-09,2022,03,09
246,491,1,33,5,83134.3,1,1,0,187946.55,0,0,0,0,2018-08-27,2022-03-10,2022,03,10
247,674,1,32,2,0.0,2,1,0,140579.17,0,1,0,0,2011-04-21,2022-03-10,2022,03,10
248,674,1,43,8,85957.88,2,1,0,8757.39,1,0,0,0,2016-01-28,2022-03-10,2022,03,10
249,745,0,32,2,0.0,4,0,1,179705.13,0,0,1,0,2013-01-09,2022-03-11,2022,03,11
250,777,0,28,2,134571.5,1,0,1,118313.38,0,0,0,0,2011-10-28,2022-03-11,2022,03,11
251,524,0,36,10,0.0,2,1,0,109614.57,0,0,0,0,2010-10-29,2022-03-11,2022,03,11
